,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",11.963515724477897,-10.0,13.403906360530996,11.963515724477897
"[40.0, 0.0, 80.0, 40.0]",13.403906360530996,15.004340400589996,15.004340400589996,13.403906360530996
"[80.0, 0.0, 120.0, 40.0]",15.004340400589996,16.782600445099995,16.782600445099995,13.403906360530996
"[80.0, 40.0, 120.0, 80.0]",16.782588446293854,15.00434039819022,18.758444938999993,15.00433791400186
"[80.0, 80.0, 120.0, 120.0]",16.78260044508369,-0.5753540289348652,12.771885335604491,-0.5763022036554624
"[80.0, 120.0, 120.0, 160.0]",13.605724432379333,-0.5475151502149863,-1.3682796500906975,-0.576992746449838
"[40.0, 80.0, 80.0, 120.0]",15.004033822594193,-0.5934556401259633,-0.5762940796101056,-0.6072948824443368
"[40.0, 120.0, 80.0, 160.0]",-0.5881491529739697,-0.5696378559163584,6.278059339592446,-0.5848183778531363
"[40.0, 40.0, 80.0, 80.0]",15.004340400585587,13.40189229027546,16.782600445099995,15.004337915450378
"[120.0, 40.0, 160.0, 80.0]",18.7584449389395,17.858444938939982,20.95382770999999,16.782600438394482
"[160.0, 40.0, 200.0, 80.0]",20.953827682006253,20.05382770999945,23.393141899999993,18.75844493899836
"[200.0, 40.0, 240.0, 80.0]",23.393141899937234,22.493141899925316,26.103490999999995,20.95382770999999
"[240.0, 40.0, 280.0, 80.0]",26.103490999999995,29.114989999999995,23.393141899999993,23.393141899999993
"[280.0, 40.0, 320.0, 80.0]",23.38764701037513,25.31650930211868,20.930548441840838,26.103490999999995
"[280.0, 80.0, 320.0, 120.0]",23.20083768525374,28.320154426598553,7.75883408546,29.114989999999995
"[320.0, 80.0, 360.0, 120.0]",9.996907341057945,21.5536520809801,-9.1,-0.3506487261508001
"[280.0, 120.0, 320.0, 160.0]",-0.325063495603,-0.27829211410000004,22.72186694739947,32.461099999999995
"[280.0, 160.0, 320.0, 200.0]",27.150620653252833,25.34059403444334,22.74888484737771,36.178999999999995
"[240.0, 120.0, 280.0, 160.0]",29.114989999999995,36.178999999999995,29.114989999999995,31.561099999999996
"[240.0, 80.0, 280.0, 120.0]",26.103490999999995,32.461099999999995,26.103490999999995,28.214989999999997
"[320.0, 120.0, 360.0, 160.0]",-0.2772749728,25.349813257926336,-9.1,28.319457396393574
"[320.0, 160.0, 360.0, 200.0]",-0.333721694467,-0.30683450287,-9.1,32.195752709949595
"[320.0, 40.0, 360.0, 80.0]",-0.35300981655100006,7.771831503586744,-9.73,23.387864398790956
"[360.0, 80.0, 400.0, 120.0]",0.0,0.0,0.0,0.0
"[0.0, 40.0, 40.0, 80.0]",0.0,0.0,0.0,0.0
"[80.0, 160.0, 120.0, 200.0]",-0.5532522256003454,-0.526464520845986,-1.3332428530545053,-0.5362905422670384
"[40.0, 160.0, 80.0, 200.0]",-0.5362961030306275,-0.5434273154957433,-0.5384245087717776,-0.5365470249548877
"[80.0, 200.0, 120.0, 240.0]",-0.5367739500461398,-0.4957114984966421,-1.130636345675347,-0.5407597023743882
"[40.0, 200.0, 80.0, 240.0]",-0.5272587141636117,-0.5178687290488059,-0.5306522289599755,-0.5332864806335564
"[80.0, 240.0, 120.0, 280.0]",-0.5065045686111106,-0.4909353182593732,-0.7,-0.4660597082788968
"[40.0, 240.0, 80.0, 280.0]",-0.4942755040846923,-0.4877630114835369,-0.5024684662048139,-0.5042049167631042
"[80.0, 280.0, 120.0, 320.0]",-0.45204485099467523,-0.4808862418931941,-0.46927428952539413,-0.4804612524894862
"[120.0, 280.0, 160.0, 320.0]",-1.2501949188799002,-0.4343756238209326,-0.44988937874095886,-0.4745208019682447
"[160.0, 280.0, 200.0, 320.0]",-1.1636424055193937,-0.42352865805788653,-0.42647062435552796,-0.41122252540954274
"[160.0, 320.0, 200.0, 360.0]",-0.44968568013241045,-7.0,-0.4207606578655418,-0.43625361494480885
"[200.0, 280.0, 240.0, 320.0]",-0.7,-0.41880332567054174,-0.411362441695765,-0.4219435553321725
"[240.0, 280.0, 280.0, 320.0]",-0.36326100667780004,-0.4098034408321631,-0.35849708878060005,-0.392246297673958
"[200.0, 320.0, 240.0, 360.0]",-0.4291350768466048,-9.1,-0.399222824147056,-0.42175168998469575
"[200.0, 360.0, 240.0, 400.0]",0.0,0.0,0.0,0.0
"[120.0, 0.0, 160.0, 40.0]",16.782600445099995,18.75844493899999,18.758444938999993,15.004340400589996
"[160.0, 0.0, 200.0, 40.0]",18.758444938999993,20.95382770999977,20.95382770999999,16.782600445099995
"[200.0, 0.0, 240.0, 40.0]",20.95382770999999,23.393141899999993,23.393141899999993,18.75844493899998
"[40.0, 280.0, 80.0, 320.0]",-0.48033198643298547,-0.4663279432195017,-0.4746782248021598,-0.47185367611217377
"[40.0, 320.0, 80.0, 360.0]",-0.4580255566626828,-7.0,-0.4726367478528863,-0.4582771874988574
"[40.0, 360.0, 80.0, 400.0]",0.0,0.0,0.0,0.0
"[240.0, 160.0, 280.0, 200.0]",32.461099999999995,32.461099999999995,32.461099999999995,40.309999999999995
"[280.0, 200.0, 320.0, 240.0]",32.430198317910495,-0.326354576716,-0.24263218000000003,-0.25386501699999997
"[280.0, 240.0, 320.0, 280.0]",12.798526565318,-0.2996272468,-0.31547005462,-0.32419786861
"[280.0, 280.0, 320.0, 320.0]",-0.330749207173,-0.3999335392761814,-0.38595016327419995,-0.37479803429592995
"[280.0, 320.0, 320.0, 360.0]",-0.3774399361012,-9.1,-0.387949697881354,-0.381602168196949
"[240.0, 320.0, 280.0, 360.0]",-0.38291523026302,-7.0,-0.3926308723277501,-0.38256810104390504
"[240.0, 360.0, 280.0, 400.0]",0.0,0.0,0.0,0.0
"[80.0, 320.0, 120.0, 360.0]",-0.46292323182998724,-9.73,-0.4441994582402081,-0.4751925197571978
"[120.0, 320.0, 160.0, 360.0]",-0.44254703587769356,-9.1,-0.4502966971650514,-0.4066514451066151
"[80.0, 360.0, 120.0, 400.0]",0.0,0.0,0.0,0.0
"[360.0, 40.0, 400.0, 80.0]",0.0,0.0,0.0,0.0
"[240.0, 0.0, 280.0, 40.0]",23.393141899999993,26.103490999999995,20.95382770999999,20.95382770999999
"[120.0, 360.0, 160.0, 400.0]",0.0,0.0,0.0,0.0
"[240.0, 200.0, 280.0, 240.0]",36.178999999999995,-0.343546359184,26.034294389657582,31.297002253999185
"[240.0, 240.0, 280.0, 280.0]",22.630575269959998,-0.3522194070976001,-0.3355957423,-1.1743479811
"[320.0, 240.0, 360.0, 280.0]",5.9937399871748,-0.38001649968982004,-9.1,-0.2873584441
"[320.0, 200.0, 360.0, 240.0]",-0.283675609,-0.30763899082,-7.0,20.94516314907476
"[360.0, 200.0, 400.0, 240.0]",0.0,0.0,0.0,0.0
