,0,1,2,3
"[160.0, 360.0, 200.0, 400.0]",0.0,0.0,0.0,0.0
"[360.0, 160.0, 400.0, 200.0]",0.0,0.0,0.0,0.0
"[200.0, 160.0, 240.0, 200.0]",39.41,39.41,36.178999999999995,44.9
"[160.0, 160.0, 200.0, 200.0]",40.309999999999995,50.0,40.309999999999995,44.0
"[160.0, 200.0, 200.0, 240.0]",0.0,0.0,0.0,0.0
"[280.0, 360.0, 320.0, 400.0]",0.0,0.0,0.0,0.0
"[320.0, 320.0, 360.0, 360.0]",-0.38157227171182007,-9.73,-9.1,-0.38341941552523
"[320.0, 280.0, 360.0, 320.0]",-0.35676074664433,-0.3381317189740001,-9.1,-0.3756095714791
"[360.0, 280.0, 400.0, 320.0]",0.0,0.0,0.0,0.0
"[280.0, 0.0, 320.0, 40.0]",19.97513441503716,22.752532664407852,-9.919,23.393141899999993
"[360.0, 120.0, 400.0, 160.0]",0.0,0.0,0.0,0.0
"[360.0, 240.0, 400.0, 280.0]",0.0,0.0,0.0,0.0
"[320.0, 360.0, 360.0, 400.0]",0.0,0.0,0.0,0.0
"[320.0, 0.0, 360.0, 40.0]",0.0,0.0,0.0,0.0
"[360.0, 320.0, 400.0, 360.0]",0.0,0.0,0.0,0.0
"[160.0, 120.0, 200.0, 160.0]",27.585144089514824,44.9,39.090778999997575,27.586999999704105
