,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",23.38795926691283,26.103490999999995,13.661047347066168,23.20119252640132
"[40.0, 0.0, 80.0, 40.0]",-0.34068267448390005,-0.3937934639615715,17.255972122756717,-0.36228677927176
"[80.0, 0.0, 120.0, 40.0]",-0.3043116307,20.599143819680343,-0.28628885530000003,-0.27049834
"[80.0, 40.0, 120.0, 80.0]",12.710076370845755,-9.1,23.390302984602503,-0.39587961491533
"[40.0, 40.0, 80.0, 80.0]",-0.41492201447374305,-0.7,20.889178903315965,-0.44041819033495994
"[120.0, 40.0, 160.0, 80.0]",-0.39829912939243006,-1.02095119,26.1029949270848,17.121223489754428
"[80.0, 80.0, 120.0, 120.0]",0.0,0.0,0.0,0.0
"[160.0, 40.0, 200.0, 80.0]",1.79525672302193,29.11492632880471,18.160913715802373,10.873584669169325
"[160.0, 80.0, 200.0, 120.0]",-0.279301582,32.46109433785558,20.052924836098367,-1.07583249781
"[160.0, 120.0, 200.0, 160.0]",-0.25925495680000005,36.17899971188417,22.647166364850236,-1.03325509
"[160.0, 160.0, 200.0, 200.0]",-0.14833,25.16312656560396,-0.195643,40.30999999514503
"[120.0, 160.0, 160.0, 200.0]",27.376968749306165,-0.06999999999999999,34.87817163895527,44.89999999999999
"[80.0, 160.0, 120.0, 200.0]",50.0,44.890180369999996,40.309761968578066,40.309928592044294
"[80.0, 120.0, 120.0, 160.0]",0.0,0.0,0.0,0.0
"[0.0, 40.0, 40.0, 80.0]",23.731501490899994,29.114989999999995,18.175161731323346,26.039510052458937
"[0.0, 80.0, 40.0, 120.0]",26.097731037719072,32.461099999999995,27.977949817976906,29.093622548542992
"[0.0, 120.0, 40.0, 160.0]",29.113072279405095,36.178999999999995,31.558983349228996,32.19707077895835
"[0.0, 160.0, 40.0, 200.0]",32.381942263999996,35.88538309999999,40.309999999999995,36.15255916999999
"[40.0, 160.0, 80.0, 200.0]",39.314233699999996,40.309972833817554,44.9,40.30713936378998
"[120.0, 0.0, 160.0, 40.0]",-0.25194799,0.9501081620294534,-0.25251499,-0.22695841000000003
"[160.0, 0.0, 200.0, 40.0]",-0.25194799,-0.26171632734100003,-0.25194799,-0.26851045501
